symbol,name,isin,exchange,series,sector,industry,tags
DMART,Avenue Supermarts Limited,INE192R01011,NSE,EQ,,Diversified Retail,nifty100|nifty500|largecap
DOMS,DOMS Industries Limited,INE321T01012,NSE,EQ,,Stationary,nifty500|niftysmallcap250|midcap
DRREDDY,Dr. Reddy's Laboratories Limited,INE089A01031,NSE,EQ,,Pharmaceuticals,nifty50|nifty100|nifty500|largecap
DYNAMATECH,Dynamatic Technologies Limited,INE221B01012,NSE,EQ,,Industrial Products,niftymicrocap250|smallcap
ECLERX,eClerx Services Limited,INE738I01010,NSE,EQ,,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nifty500|niftysmallcap250|midcap
EDELWEISS,Edelweiss Financial Services Limited,INE532F01054,NSE,EQ,,Holding Company,niftymicrocap250|smallcap
EICHERMOT,Eicher Motors Limited,INE066A01021,NSE,EQ,,2/3 Wheelers,nifty50|nifty100|nifty500|largecap
EIDPARRY,EID Parry India Limited,INE126A01031,NSE,EQ,,Other Food Products,nifty500|niftysmallcap250|midcap
EIEL,Enviro Infra Engineers Limited,INE0LLY01014,NSE,EQ,,Water Supply & Management,niftymicrocap250|smallcap
EIHOTEL,EIH Limited,INE230A01023,NSE,EQ,,Hotels & Resorts,nifty500|niftysmallcap250|midcap
ELECON,Elecon Engineering Company Limited,INE205B01031,NSE,EQ,,Heavy Electrical Equipment,nifty500|niftysmallcap250|midcap
ELECTCAST,Electrosteel Castings Limited,INE086A01029,NSE,EQ,,Iron & Steel Products,niftymicrocap250|smallcap
ELGIEQUIP,Elgi Equipments Limited,INE285A01027,NSE,EQ,,Compressors Pumps & Diesel Engines,nifty500|niftysmallcap250|midcap
ELLEN,Ellenbarrie Industrial Gases Limited,INE236E01022,NSE,EQ,,Industrial Gases,niftymicrocap250|smallcap
EMAMILTD,Emami Limited,INE548C01032,NSE,EQ,,Personal Care,nifty500|niftysmallcap250|midcap
EMCURE,Emcure Pharmaceuticals Limited,INE168P01015,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
EMIL,Electronics Mart India Limited,INE02YR01019,NSE,EQ,,Diversified Retail,niftymicrocap250|smallcap
EMMVEE,Emmvee Photovoltaic Power Limited,INE1C6T01020,NSE,EQ,,Other Electrical Equipment,nifty500|niftysmallcap250|midcap
ENDURANCE,Endurance Technologies Limited,INE913H01037,NSE,EQ,,Auto Components & Equipments,nifty500|niftymidcap150|midcap
ENGINERSIN,Engineers India Limited,INE510A01028,NSE,EQ,,Civil Construction,nifty500|niftysmallcap250|midcap
ENRIN,Siemens Energy India Limited,INE1NPP01017,NSE,EQ,,Heavy Electrical Equipment,nifty100|nifty500|largecap
ENTERO,Entero Healthcare Solutions Limited,INE010601016,NSE,EQ,,Pharmacy Retail,niftymicrocap250|smallcap
EPL,EPL Limited,INE255A01020,NSE,EQ,,Packaging,niftymicrocap250|smallcap
EQUITASBNK,Equitas Small Finance Bank Limited,INE063P01018,NSE,EQ,,Other Bank,niftymicrocap250|smallcap
ERIS,Eris Lifesciences Limited,INE406M01024,NSE,EQ,,Pharmaceuticals,nifty500|niftysmallcap250|midcap
ESCORTS,Escorts Kubota Limited,INE042A01014,NSE,EQ,,Tractors,nifty500|niftymidcap150|midcap
ETERNAL,ETERNAL LIMITED,INE758T01015,NSE,EQ,,E-Retail/ E-Commerce,nifty50|nifty100|nifty500|largecap
ETHOSLTD,Ethos Limited,INE04TZ01018,NSE,EQ,,Gems Jewellery And Watches,niftymicrocap250|smallcap
EUREKAFORB,Eureka Forbes Limited,INE0KCE01017,NSE,EQ,,Household Appliances,niftymicrocap250|smallcap
EXIDEIND,Exide Industries Limited,INE302A01020,NSE,EQ,,Auto Components & Equipments,nifty500|niftymidcap150|midcap
FACT,Fertilizers and Chemicals Travancore Limited,INE188A01015,NSE,EQ,,Fertilizers,nifty500|niftysmallcap250|midcap
FEDERALBNK,The Federal Bank  Limited,INE171A01029,NSE,EQ,,Private Sector Bank,nifty500|niftymidcap150|midcap
FEDFINA,Fedbank Financial Services Limited,INE007N01010,NSE,EQ,,Non Banking Financial Company (NBFC),niftymicrocap250|smallcap
FIEMIND,Fiem Industries Limited,INE737H01014,NSE,EQ,,Auto Components & Equipments,niftymicrocap250|smallcap
FINCABLES,Finolex Cables Limited,INE235A01022,NSE,EQ,,Cables - Electricals,nifty500|niftysmallcap250|midcap
FINPIPE,Finolex Industries Limited,INE183A01024,NSE,EQ,,Plastic Products - Industrial,niftymicrocap250|smallcap
FIRSTCRY,Brainbees Solutions Limited,INE02RE01045,NSE,EQ,,E-Retail/ E-Commerce,nifty500|niftysmallcap250|midcap
FIVESTAR,Five-Star Business Finance Limited,INE128S01021,NSE,EQ,,Non Banking Financial Company (NBFC),nifty500|niftysmallcap250|midcap
FLUOROCHEM,Gujarat Fluorochemicals Limited,INE09N301011,NSE,EQ,,Specialty Chemicals,nifty500|niftymidcap150|midcap
FORCEMOT,FORCE MOTORS LTD,INE451A01017,NSE,EQ,,Passenger Cars & Utility Vehicles,nifty500|niftysmallcap250|midcap
FORTIS,Fortis Healthcare Limited,INE061F01013,NSE,EQ,,Hospital,nifty500|niftymidcap150|midcap
FSL,Firstsource Solutions Limited,INE684F01012,NSE,EQ,,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),nifty500|niftysmallcap250|midcap
GABRIEL,Gabriel India Limited,INE524A01029,NSE,EQ,,Auto Components & Equipments,nifty500|niftysmallcap250|midcap
GAEL,Gujarat Ambuja Exports Limited,INE036B01030,NSE,EQ,,Other Agricultural Products,niftymicrocap250|smallcap
